sample_id,transcript,callsign,heading,flight_level,command,speaker,message_type,airline
44,ONE THREE ONE ZERO FIVE FIVE LUFTHANSA SIX UNIFORM VICTOR BYE BYE,LUFTHANSA6,,,,unknown,other,Lufthansa
45,AND LUFTHANSA TWO FOXTROT ROMEO REQUESTING UP TO LEVEL THREE NINER ZERO,LUFTHANSA2,,390.0,climb,pilot,report,Lufthansa
46,RUNWAY TWO FOUR CLEARED TO LAND UPS TWO NINER FIVE,UPS295,,,land,controller,clearance,UPS Airlines
47,AIRSPACE ECHO BELOW YOU WOULD YOU LIKE TO DESCEND,,,,descend,controller,clearance,
48,ONE TWO SEVEN ONE TWO FIVE AUSTRIAN ONE SEVEN TWO PAPA BYE BYE LOT THREE WHISKEY WHISKEY DESCEND TO FLIGHT LEVEL TWO NINER ZERO,AUSTRIAN172,,290.0,descend,controller,clearance,Austrian Airlines
49,NAVIGATOR THREE SEVEN TWO PROCEED TO CHARLIE ZULU ECHO,NAVIGATOR372,,,,controller,other,
50,STARTUP PUSH BACK APPROVED POSITION TO FOXTROT SQUAWK FOUR FOUR ZERO SEVEN EUROTRANS ONE THREE JULIETT,EUROTRANS13,,,,unknown,other,
51,SUNTURK QUEBEC SIERRA DESCEND TO FLIGHT LEVEL SEVEN ZERO EXPECT CLEARANCE FOUR AIRWORK ABOUT THREE MILES BEFORE OSKUP,CLEARANCE4,,70.0,descend,controller,clearance,
52,CSA NINER ZERO FOUR LINE UP RUNWAY ONE THREE,CSA904,,,climb,controller,other,Czech Airlines
53,ONE THREE TWO DECIMAL ONE FIVE FIVE REACH,DECIMAL155,,,,unknown,other,
54,LOT FIVE TWO SIX CLIMB FLIGHT LEVEL TWO ONE ZERO,LOT526,,210.0,climb,controller,clearance,LOT Polish Airlines
55,QUALITY NINER ONE ROMEO LEFT HEADING ONE SIX ZERO CLEARED FOR ILS APPROACH RUNWAY ONE THREE,QUALITY91,160.0,,turn,controller,clearance,
56,KOREANAIR ONE TWO ONE WIND TWO FOUR ZERO DEGREES FIVE KNOTS RUNWAY ONE SIX RIGHT CLEARED TO LAND,KOREANAIR121,,,land,controller,clearance,
57,GOOD NIGHT,,,,,unknown,other,
58,PRAHA GOOD DAY AIR BERLIN EIGHT TWO EIGHT THREE FLIGHT LEVEL THREE FOUR ZERO INBOUND TOMTI,BERLIN8283,,340.0,,unknown,report,
59,SINGAPORE THREE TWO FIVE CONTACT WARSAW ONE THREE FOUR DECIMAL NINER TWO FIVE GOOD BYE,SINGAPORE325,,,,controller,handoff,Singapore Airlines
60,LINING UP,,,,climb,controller,other,
61,DONAVIA THREE ZERO FIVE CONTACT PRAHA ONE TWO SEVEN DECIMAL TWO CORRECTION ONE TWO SEVEN DECIMAL ONE TWO FIVE,DONAVIA305,,,,controller,handoff,
62,IS ON,,,,,unknown,other,
63,LEVEL THREE HUNDRED AUSTRIAN,,,,,unknown,report,
64,PRAHA GOOD EVENING LUFTHANSA SIX ECHO UNIFORM LEVEL THREE ONE ZERO,LUFTHANSA6,,310.0,,unknown,report,Lufthansa
65,ONE AIR MALTA,,,,,unknown,other,
66,AIRFRANS ONE ZERO EIGHT TWO DESCEND ALTITUDE FOUR THOUSAND FEET QNH ONE ZERO ONE EIGHT,AIRFRANS1082,,,descend,controller,clearance,Air France
67,SPEED ONE TWO FOUR XRAY,SPEED124,,,,controller,other,
68,GERMANWINGS SEVEN PAPA TURN LEFT HEADING ZERO ONE ZERO,,10.0,,turn,controller,clearance,
69,GOOD BYE,,,,,unknown,other,
70,SWISS TWO ONE EIGHT ROMEO CAN WE VACATE VIA HOTEL TWO,SWISS218,,,,controller,other,Swiss International Air Lines
71,AFFIRM,,,,,unknown,acknowledgment,
72,HOTEL BRAVO KILO CHARLIE JULIETT ECHO ONE FIVE THOUSAND AND EIGHT FOUR THOUSAND EIGHT HUNDRED FEET,THOUSAND8,,,,unknown,other,
73,GOOD AFTERNOON LUFTHANSA SEVEN THREE NINER PRAHA RADAR CONTACT DESCEND FLIGHT LEVEL THREE ZERO ZERO LEVEL BY RAPET,LUFTHANSA739,,300.0,descend,controller,clearance,Lufthansa
74,GO AHEAD,,,,,unknown,other,
75,INDIA JULIETT REPORT HOTEL SIERRA OR GOLF SIERRA QNH ONE ZERO ONE SEVEN,QNH1017,,,,unknown,other,
76,AUSTRIAN ONE TWO FOUR PROCEED TO VADOV,AUSTRIAN124,,,,controller,other,Austrian Airlines
77,AT LEVEL DESCEND TWO NINER ZERO ABRACK AT LEVEL AUSTRIAN TWO SEVEN FOUR CHARLIE,AUSTRIAN274,,,descend,controller,clearance,Austrian Airlines
78,BETWEEN FIVE HUNDRED AND ALPHA THOUSAND FEET SHAMROCK SIX SEVEN XRAY,SHAMROCK67,,,,unknown,other,
79,NAV CHECKER FIVE ONE ONE GOOD AFTERNOON,CHECKER511,,,,unknown,other,
80,DESCENDING FLIGHT LEVEL ONE ZERO ZERO AND AFTER,,,100.0,descend,pilot,readback,
81,LEFT HEADING ONE TWO ZERO CSA NINER SEVEN,CSA97,120.0,,turn,controller,other,Czech Airlines
82,SINGAPORE TWO FIVE REQUEST,SINGAPORE25,,,,pilot,request,Singapore Airlines
83,RUNWAY THREE ONE CLEARED TO TAKEOFF CSA NINER TWO TWO,CSA922,,,takeoff,controller,clearance,Czech Airlines
84,SAY AGAIN FOR TWO SIX NINER SIX,FOR2696,,,,unknown,other,
85,NO SPEED LIMIT CSA,,,,,unknown,other,
86,CORRECT INFORMATION KILO QNH ONE ZERO TWO TWO,QNH1022,,,,unknown,acknowledgment,
87,ONE FIVE ONE FOUR,,,,,unknown,other,
88,THAI NINER THREE THREE PRAHA,THAI933,,,,controller,other,
89,LOT FOUR ONE TWO SIX CONTACT PRAHA ONE TWO SEVEN DECIMAL ONE TWO FIVE GOOD BYE,LOT4126,,,,controller,handoff,LOT Polish Airlines
90,GOOD DAY HOTEL ZULU MIKE SIERRA FOUR PRAHA RADAR CONTACT DESCEND FLIGHT LEVEL ONE ZERO ZERO INFORMATION PAPA TWO FIVE ZERO KNOTS,SIERRA4,,100.0,descend,controller,clearance,
91,HOTEL CHARLIE JULIETT YOU PASSED ECHO TWO CONTINUE FOR DIRECT APPROACH AS NUMBER ONE REPORT FINAL TWO FIVE,NUMBER1,,,land,controller,other,
92,ONE THREE,,,,,unknown,other,
93,YES EASY THREE ZERO SIX FIVE,EASY3065,,,,unknown,other,easyJet
94,AEROFLOT TWO SEVEN NINER RESUME OWN NAVIGATION DIRECT PUBEK,AEROFLOT279,,,,controller,other,Aeroflot
95,TWO NINETY OR GREATER CSA FIVE DELTA ROMEO,CSA5,,,,unknown,other,Czech Airlines
96,HOTEL GOLF NOVEMBER WIND ZERO ONE ZERO DEGREES ONE ZERO KNOTS RUNWAY ONE FOUR CLEARED TO LAND,DEGREES10,,,land,controller,clearance,
97,ONE THREE THREE THREE NINER ZERO GOOD BYE NOR SHUTTLE ONE SIX THREE THREE,SHUTTLE1633,,,,unknown,other,
98,ONE THREE FOUR,,,,,unknown,other,
99,ONE THREE ONE THREE FIVE ZERO WONDERFUL DAY THANK YOU BYE BYE AUSTRIAN THREE SEVEN EIGHT MIKE,AUSTRIAN378,,,,unknown,other,Austrian Airlines
