sample_id,transcript,callsign,heading,flight_level,command,speaker,event,traffic_callsign
23,ON PRESENT HEADING DESCENDING FOUR THOUSAND FEET QNH ONE ZERO ONE EIGHT CSA SIX ONE NINER,THOUSANDFEETQNH1018,,,descend,pilot,,
24,OK FLIGHT LEVEL,,,,,unknown,,
25,HELICOPTER HELI VICTOR OSCAR GOOD AFTERNOON,,,,,unknown,,
26,AIR BERLIN FIVE FOUR THREE ECHO CONTACT PRAHA ONE TWO SEVEN DECIMAL ONE TWO FIVE GOOD BYE,AIRBERLIN543,,,,unknown,,
27,AFTER APPROACH CLIMB STRAIGHT AHEAD FOUR THOUSAND FEET OSCAR KILO MIKE CHARLIE CHARLIE,STRAIGHTAHEAD4,,,climb,controller,,
28,EASY FIVE FOUR NINER SEVEN TURN RIGHT HEADING ONE ZERO ZERO CLEARED ILS APPROACH RUNWAY ONE THREE RIGHT HEADING ONE ZERO ZERO CLEARED THE ILS ONE THREE,CLEAREDTHEILS13,100.0,,turn,controller,,
29,FOUR SIX ZERO FLIGHT LEVEL THREE THREE ZERO THREE ONE ZERO,,,3303.0,,unknown,,
30,BY A LEFT TURN TO HEADING,,,,turn,controller,,
31,CLEARED TO LAND RUNWAY ONE FOUR AND VACATE AT OWN DISCRETION LEGEND ONE TWO ZERO TWO,TOLANDRUNWAY14,,,land,controller,,
32,ROGER COPIED,,,,,pilot,,
33,GERMANWINGS THREE ONE ZERO ONE THREE FOUR DECIMAL FOUR SEVEN FIVE GOOD BYE,DECIMAL475,,,,unknown,,
34,SPEEDBIRD EIGHT SIX ONE,SPEEDBIRD861,,,,controller,,
35,LUFTHANSA ONE UNIFORM XRAY CLIMB FLIGHT LEVEL THREE FOUR ZERO,LUFTHANSA1,,340.0,climb,controller,,
36,PRESENT HEADING DESCEND TO ALTITUDE FOUR THOUSAND FEET QNH ONE ZERO ONE EIGHT CSA NINER ZERO FIVE,THOUSANDFEETQNH1018,,,descend,controller,,
37,BREAK BREAK TWINSTAR EIGHT EIGHT SEVEN TURN RIGHT HEADING TWO EIGHT ZERO INTERCEPT LOCALIZER RUNWAY THREE ONE,INTERCEPTLOCALIZERRUNWAY31,280.0,,turn,controller,,
38,READY CSA SEVEN EIGHT EIGHT,READYCSA788,,,,pilot,,
39,BELOW FLIGHT LEVEL NINER FIVE CLASS ECHO AIRSPACE DO YOU ACCEPT,BELOW95,,95.0,,controller,,
40,TIMEAIR SIX ONE TWO PAPA REDUCE SPEED ONE SIX ZERO KNOTS TILL FOUR MILES FINAL WE ARE REDUCING TIMEAIR SIX,AREREDUCINGTIMEAIR6,,,land,controller,,
41,LOT THREE SEVEN MIKE DESCEND TO FLIGHT LEVEL ONE FIVE ZERO,LOT37,,150.0,descend,controller,,
42,ROGER MAINTAIN STANDARD ROUTING AND WE WILL TRY TO CHECK IT WITH NEXT SECTOR OK GREAT THANK YOU,,,,maintain,pilot,,
43,GERMANWINGS TWO ONE FOUR ONE CONTACT MUNICH ONE THREE TWO DECIMAL ONE FIVE FIVE BYE,DECIMAL155,,,,unknown,,
44,ONE THREE ONE ZERO FIVE FIVE LUFTHANSA SIX UNIFORM VICTOR BYE BYE,LUFTHANSA6,,,,unknown,,
45,AND LUFTHANSA TWO FOXTROT ROMEO REQUESTING UP TO LEVEL THREE NINER ZERO,ANDLUFTHANSA2,,390.0,climb,pilot,,
46,RUNWAY TWO FOUR CLEARED TO LAND UPS TWO NINER FIVE,TOLANDUPS295,,,land,controller,,
47,AIRSPACE ECHO BELOW YOU WOULD YOU LIKE TO DESCEND,,,,descend,controller,,
48,ONE TWO SEVEN ONE TWO FIVE AUSTRIAN ONE SEVEN TWO PAPA BYE BYE LOT THREE WHISKEY WHISKEY DESCEND TO FLIGHT LEVEL TWO NINER ZERO,BYEBYELOT3,,290.0,descend,controller,,
49,NAVIGATOR THREE SEVEN TWO PROCEED TO CHARLIE ZULU ECHO,NAVIGATOR372,,,,controller,,
50,STARTUP PUSH BACK APPROVED POSITION TO FOXTROT SQUAWK FOUR FOUR ZERO SEVEN EUROTRANS ONE THREE JULIETT,TOFOXTROTSQUAWK4407,,,,unknown,,
51,SUNTURK QUEBEC SIERRA DESCEND TO FLIGHT LEVEL SEVEN ZERO EXPECT CLEARANCE FOUR AIRWORK ABOUT THREE MILES BEFORE OSKUP,EXPECTCLEARANCE4,,70.0,descend,controller,,
52,CSA NINER ZERO FOUR LINE UP RUNWAY ONE THREE,LINEUPRUNWAY13,,,climb,controller,,
53,ONE THREE TWO DECIMAL ONE FIVE FIVE REACH,DECIMAL155,,,,unknown,,
54,LOT FIVE TWO SIX CLIMB FLIGHT LEVEL TWO ONE ZERO,LOT526,,210.0,climb,controller,,
55,QUALITY NINER ONE ROMEO LEFT HEADING ONE SIX ZERO CLEARED FOR ILS APPROACH RUNWAY ONE THREE,QUALITY91,160.0,,turn,controller,,
56,KOREANAIR ONE TWO ONE WIND TWO FOUR ZERO DEGREES FIVE KNOTS RUNWAY ONE SIX RIGHT CLEARED TO LAND,KNOTSRUNWAY16,,,land,controller,,
57,GOOD NIGHT,,,,,unknown,,
58,PRAHA GOOD DAY AIR BERLIN EIGHT TWO EIGHT THREE FLIGHT LEVEL THREE FOUR ZERO INBOUND TOMTI,DAYAIRBERLIN8283,,340.0,,unknown,,
59,SINGAPORE THREE TWO FIVE CONTACT WARSAW ONE THREE FOUR DECIMAL NINER TWO FIVE GOOD BYE,SINGAPORE325,,,,controller,,
60,LINING UP,,,,climb,controller,,
61,DONAVIA THREE ZERO FIVE CONTACT PRAHA ONE TWO SEVEN DECIMAL TWO CORRECTION ONE TWO SEVEN DECIMAL ONE TWO FIVE,DONAVIA305,,,,controller,,
62,IS ON,,,,,unknown,,
63,LEVEL THREE HUNDRED AUSTRIAN,,,,,unknown,,
64,PRAHA GOOD EVENING LUFTHANSA SIX ECHO UNIFORM LEVEL THREE ONE ZERO,GOODEVENINGLUFTHANSA6,,310.0,,unknown,,
65,ONE AIR MALTA,,,,,unknown,,
66,AIRFRANS ONE ZERO EIGHT TWO DESCEND ALTITUDE FOUR THOUSAND FEET QNH ONE ZERO ONE EIGHT,THOUSANDFEETQNH1018,,,descend,controller,,
67,SPEED ONE TWO FOUR XRAY,SPEED124,,,,controller,,
68,GERMANWINGS SEVEN PAPA TURN LEFT HEADING ZERO ONE ZERO,,10.0,,turn,controller,,
69,GOOD BYE,,,,,unknown,,
70,SWISS TWO ONE EIGHT ROMEO CAN WE VACATE VIA HOTEL TWO,VACATEVIAHOTEL2,,,,unknown,,
71,AFFIRM,,,,,unknown,,
72,HOTEL BRAVO KILO CHARLIE JULIETT ECHO ONE FIVE THOUSAND AND EIGHT FOUR THOUSAND EIGHT HUNDRED FEET,CHARLIEJULIETTECHO15,,,,unknown,,
73,GOOD AFTERNOON LUFTHANSA SEVEN THREE NINER PRAHA RADAR CONTACT DESCEND FLIGHT LEVEL THREE ZERO ZERO LEVEL BY RAPET,GOODAFTERNOONLUFTHANSA739,,300.0,descend,controller,,
74,GO AHEAD,,,,,unknown,,
75,INDIA JULIETT REPORT HOTEL SIERRA OR GOLF SIERRA QNH ONE ZERO ONE SEVEN,GOLFSIERRAQNH1017,,,,unknown,,
76,AUSTRIAN ONE TWO FOUR PROCEED TO VADOV,AUSTRIAN124,,,,controller,,
77,AT LEVEL DESCEND TWO NINER ZERO ABRACK AT LEVEL AUSTRIAN TWO SEVEN FOUR CHARLIE,AUSTRIAN274,,,descend,controller,,
78,BETWEEN FIVE HUNDRED AND ALPHA THOUSAND FEET SHAMROCK SIX SEVEN XRAY,THOUSANDFEETSHAMROCK67,,,,unknown,,
79,NAV CHECKER FIVE ONE ONE GOOD AFTERNOON,NAVCHECKER511,,,,unknown,,
80,DESCENDING FLIGHT LEVEL ONE ZERO ZERO AND AFTER,,,100.0,descend,pilot,,
81,LEFT HEADING ONE TWO ZERO CSA NINER SEVEN,CSA97,120.0,,turn,controller,,
82,SINGAPORE TWO FIVE REQUEST,SINGAPORE25,,,,pilot,,
83,RUNWAY THREE ONE CLEARED TO TAKEOFF CSA NINER TWO TWO,TOTAKEOFFCSA922,,,takeoff,controller,,
84,SAY AGAIN FOR TWO SIX NINER SIX,SAYAGAINFOR2696,,,,unknown,,
85,NO SPEED LIMIT CSA,,,,,unknown,,
86,CORRECT INFORMATION KILO QNH ONE ZERO TWO TWO,KILOQNH1022,,,,unknown,,
87,ONE FIVE ONE FOUR,,,,,unknown,,
88,THAI NINER THREE THREE PRAHA,THAI933,,,,controller,,
89,LOT FOUR ONE TWO SIX CONTACT PRAHA ONE TWO SEVEN DECIMAL ONE TWO FIVE GOOD BYE,DECIMAL125,,,,unknown,,
90,GOOD DAY HOTEL ZULU MIKE SIERRA FOUR PRAHA RADAR CONTACT DESCEND FLIGHT LEVEL ONE ZERO ZERO INFORMATION PAPA TWO FIVE ZERO KNOTS,ZULUMIKESIERRA4,,100.0,descend,controller,,
91,HOTEL CHARLIE JULIETT YOU PASSED ECHO TWO CONTINUE FOR DIRECT APPROACH AS NUMBER ONE REPORT FINAL TWO FIVE,YOUPASSEDECHO2,,,land,controller,,
92,ONE THREE,,,,,unknown,,
93,YES EASY THREE ZERO SIX FIVE,YESEASY3065,,,,unknown,,
94,AEROFLOT TWO SEVEN NINER RESUME OWN NAVIGATION DIRECT PUBEK,AEROFLOT279,,,,controller,,
95,TWO NINETY OR GREATER CSA FIVE DELTA ROMEO,ORGREATERCSA5,,,,unknown,,
96,HOTEL GOLF NOVEMBER WIND ZERO ONE ZERO DEGREES ONE ZERO KNOTS RUNWAY ONE FOUR CLEARED TO LAND,GOLFNOVEMBERWIND10,,,land,controller,,
97,ONE THREE THREE THREE NINER ZERO GOOD BYE NOR SHUTTLE ONE SIX THREE THREE,BYENORSHUTTLE1633,,,,unknown,,
98,ONE THREE FOUR,,,,,unknown,,
99,ONE THREE ONE THREE FIVE ZERO WONDERFUL DAY THANK YOU BYE BYE AUSTRIAN THREE SEVEN EIGHT MIKE,BYEBYEAUSTRIAN378,,,,unknown,,
